"Автовская ул., д.21","515\283","412\236"
"Васи Алексеева ул., д.11","57\63","192\109"
"Васи Алексеева ул., д.16","258\132","264\125"
"Васи Алексеева ул., д.17","176\112","214\141"
"Васи Алексеева ул., д.20/24","293\100","325\196"
"Васи Алексеева ул., д.21","82\38","179\86"
"Васи Алексеева ул., д.22","585\549","797\599"
"Васи Алексеева ул., д.24","240\174","113\51"
"Васи Алексеева ул., д.25","101\82","140\100"
"Васи Алексеева ул., д.26","300\226","355\232"
"Васи Алексеева ул., д.28","235\162","192\135"
"Васи Алексеева ул., д.30","604\422","563\354"
"Возрождения ул., д.7/25","253\165","502\236"
"Возрождения ул., д.9","18\10","19\9"
"Возрождения ул., д.15","86\70","116\82"
"Возрождения ул., д.19/38","600\347","1090\621"
"Возрождения ул., д.23","57\29","73\34"
"Возрождения ул., д.25","110\55","92\45"
"Возрождения ул., д.27","206\119","110\120"
"Гладкова ул., д.1","1\27","217\78"
"Гладкова ул., д.1а","61\26","78\42"
"Гладкова ул., д.7/10","64\25","173\91"
"Гладкова ул., д.11","1\1","11\11"
"Гладкова ул., д.13а","36\20","21\21"
"Гладкова ул., д.17","103\83","510\177"
"Гладкова ул., д.19","65\70","121\24"
"Гладкова ул., д.21","19\10","23\12"
"Гладкова ул., д.23","78\92","174\141"
"Гладкова ул., д.24/7","4\1","22\12"
"Гладкова ул., д.25","30\31","33\31"
"Гладкова ул., д.26","97\72","74\31"
"Гладкова ул., д.29","65\42","170\183"
"Гладкова ул., д.31/7","11\7","94\51"
"Гладкова ул., д.33","102\35","262\120"
"Гладкова ул., д.35","45\23","236\7"
"Гладкова ул., д.39в","11\6","16\8"
"Гладкова ул., д.41","1\1","3\1"
"Гладкова ул., д.43а","71\36","54\27"
"Губина ул., д.1/32","250\91","226\85"
"Губина ул., д.3","36\11","9\0"
"Губина ул., д.4","25\3","1\12"
"Губина ул., д.5","96\75","199\164"
"Губина ул., д.6","1\5","313\16"
"Губина ул., д.8","74\36","61\31"
"Губина ул., д.9, корп.1","30\17","6\1"
"Губина ул., д.9, корп.2","77\27","22\22"
"Губина ул., д.12","58\31","43\12"
"Губина ул., д.13, корп.1а","41\1","41\0"
"Губина ул., д.13, корп.2","3\14","29\11"
"Губина ул., д.14","37\37","147\9"
"Губина ул., д.15","33\14","130\68"
"Губина ул., д.18","1\1","3\2"
"Губина ул., д.19/16","51\27","95\76"
"Губина ул., д.20","77\21","24\20"
"Губина ул., д.21","64\15","136\62"
"Губина ул., д.22/21","44\65","131\23"
"Губина ул., д.23/19","79\33","38\58"
"Двинская ул., д.4","408\296","499\331"
"Двинская ул., д.4, корп.1","210\171","269\193"
"Двинская ул., д.4, корп.2","378\328","394\300"
"Двинская ул., д.4, корп.3","192\206","226\45"
"Двинская ул., д.4, корп.4","138\160","176\179"
"Двинская ул., д.8","148\107","178\115"
"Двинская ул., д.9","153\76","147\61"
"Двинская ул., д.10","132\470","189\561"
"Двинская ул., д.11","319\234","271\185"
"Двинская ул., д.14","260\174","249\167"
"Двинская ул., д.14, корп.4","1184\379","1262\355"
"Двинская ул., д.15","2377\931","2493\959"
"Двинская ул., д.16, корп.1","2637\1029","3184\1293"
"Двинская ул., д.16, корп.3","2014\886","2286\1017"
"Двинская ул., д.17","584\282","640\299"
"Зайцева ул., д.3","635\557","728\582"
"Зайцева ул., д.17/23","1427\808","1415\774"
"Зайцева ул., д.18/16","185\106","221\122"
"Зайцева ул., д.19/18","250\235","304\210"
"Зайцева ул., д.20","495\326","479\315"
"Зайцева ул., д.21","30\15","44\22"
"Зайцева ул., д.22/13","1251\601","1479\665"
"Зайцева ул., д.25","113\84","105\76"
"Зайцева ул., д.26","249\0","249\0"
"Зайцева ул., д.29","74\19","11\26"
"Зайцева ул., д.31","377\225","285\183"
"Зайцева ул., д.32","302\216","341\238"
"Зайцева ул., д.33","404\310","386\269"
"Зайцева ул., д.34","90\45","100\51"
"Зайцева ул., д.36","289\166","296\163"
"Зайцева ул., д.37","165\82","161\78"
"Зайцева ул., д.39","210\151","243\179"
"Зины Портновой ул., д.4","172\0","51\55"
"Зины Портновой ул., д.6","255\277","289\274"
"Зины Портновой ул., д.8","225\289","250\234"
"Зины Портновой ул., д.10","194\202","189\171"
"Зины Портновой ул., д.12","151\185","203\204"
"Зины Портновой ул., д.14","251\231","308\263"
"Зины Портновой ул., д.16","456\230","466\235"
"Зины Портновой ул., д.18","129\171","129\171"
"Зины Портновой ул., д.20","28\47","37\36"
"Зины Портновой ул., д.22","23\39","12\31"
"Зины Портновой ул., д.24","98\151","158\174"
"Зины Портновой ул., д.26","87\128","132\149"
"Зины Портновой ул., д.28","259\125","216\104"
"Зины Портновой ул., д.30","226\188","271\217"
"Зои Космодемьянской ул., д.3","150\137","288\201"
"Зои Космодемьянской ул., д.5","709\319","909\339"
"Зои Космодемьянской ул., д.6, корп.1","506\208","384\188"
"Зои Космодемьянской ул., д.8/17","16\1","56\33"
"Зои Космодемьянской ул., д.15","91\48","97\49"
"Зои Космодемьянской ул., д.16/24","94\48","28\10"
"Зои Космодемьянской ул., д.17/26","128\91","147\78"
"Зои Космодемьянской ул., д.21","68\60","279\76"
"Зои Космодемьянской ул., д.23","48\44","59\0"
"Зои Космодемьянской ул., д.25/20","89\46","139\90"
"Зои Космодемьянской ул., д.27","115\13","100\180"
"Зои Космодемьянской ул., д.29","103\24","25\66"
"Ивана Черных ул., д.1","479\204","540\246"
"Ивана Черных ул., д.3","179\114","187\114"
"Ивана Черных ул., д.3, корп.2","133\70","70\37"
"Ивана Черных ул., д.13а","97\113","338\41"
"Ивана Черных ул., д.13б","198\253","472\55"
"Ивана Черных ул., д.15а","215\151","149\102"
"Ивана Черных ул., д.15б","42\41","32\27"
"Ивана Черных ул., д.19","170\151","238\170"
"Ивана Черных ул., д.21","52\25","94\47"
"Канонерский о., д.7","6736\3405","8199\4145"
"Канонерский о., д.8","4748\1642","5311\1814"
"Канонерский о., д.9","1665\720","1905\795"
"Канонерский о., д.10","2300\1115","2145\1215"
"Канонерский о., д.11, корп.1","1138\471","1117\459"
"Канонерский о., д.12","543\289","639\341"
"Канонерский о., д.12, корп.2","552\286","779\408"
"Канонерский о., д.13","300\208","427\403"
"Канонерский о., д.14","162\151","332\243"
"Канонерский о., д.16","23\48","61\60"
"Канонерский о., д.25","212\81","282\108"
"Корнеева ул., д.2","488\563","733\0"
"Корнеева ул., д.6","459\223","1948\317"
"Косинова ул., д.5","36\18","123\66"
"Косинова ул., д.7","18\41","80\74"
"Косинова ул., д.9/9","60\43","108\287"
"Косинова ул., д.14, корп.1","213\291","269\186"
"Косинова ул., д.14, корп.2","154\113","137\84"
"Краснопутиловская ул., д.16/13","1066\537","1001\494"
"Краснопутиловская ул., д.18","81\54","103\63"
"Краснопутиловская ул., д.20","433\305","630\382"
"Краснопутиловская ул., д.26","637\335","775\408"
"Краснопутиловская ул., д.28/20","386\198","314\160"
"Ленинский пр., д.110, корп.1а","366\330","520\414"
"Ленинский пр., д.110, корп.1б","1505\1536","2000\1621"
"Ленинский пр., д.120, корп.2","118\90","151\102"
"Ленинский пр., д.121","1404\549","1302\136"
"Ленинский пр., д.121, корп.2",724,733
"Ленинский пр., д.121, корп.3","8\35","28\41"
"Ленинский пр., д.124","1835\504","1887\488"
"Ленинский пр., д.130, корп.2","884\425","804\329"
"Майков пер., д.3","40\40","128\70"
"Майков пер., д.5а","74\44","62\32"
"Майков пер., д.7/1","115\53","113\58"
"Маршала Говорова ул., д.3/7","379\0","442\0"
"Маршала Говорова ул., д.5/4","526\342","674\318"
"Маршала Говорова ул., д.6/5","157\103","233\120"
"Маршала Говорова ул., д.7","126\73","110\56"
"Маршала Говорова ул., д.11/3","137\15","171\22"
"Маршала Говорова ул., д.15","44\60","54\65"
"Маршала Говорова ул., д.16","2651\1082","3181\1335"
"Маршала Говорова ул., д.17","69\46","77\57"
"Маршала Говорова ул., д.21","161\112","217\137"
"Маршала Говорова ул., д.22/10","674\381","486\312"
"Маршала Говорова ул., д.22, корп.2","106\102","141\103"
"Маршала Говорова ул., д.23","161\93","227\104"
"Маршала Говорова ул., д.24","371\287","511\363"
"Маршала Говорова ул., д.26, корп.2","264\135","359\195"
"Маршала Жукова пр., д.18а","527\313","554\296"
"Маршала Жукова пр., д.18б","545\211","616\258"
"Маршала Жукова пр., д.18в","2285\1181","2347\1197"
"Маршала Жукова пр., д.18г","774\590","1013\635"
"Маршала Жукова пр., д.18д","546\317","633\446"
"Маршала Жукова пр., д.20","3746\571","2191\652"
"Маршала Жукова пр., д.22",,"1176\459"
"Маршала Жукова пр., д.26/16а","897\453","1151\1129"
"Маршала Жукова пр., д.26/16б","1506\1075","1718\1064"
"Маршала Жукова пр., д.26/16в","2034\1406","2063\1284"
"Маршала Жукова пр., д.28, корп.1","1708\1209","2467\1669"
"Маршала Жукова пр., д.30, корп.2а","720\450","960\450"
"Маршала Жукова пр., д.30, корп.2б","566\166","617\183"
"Маршала Жукова пр., д.30, корп.2в","2448\1758","3057\2048"
"Маршала Жукова пр., д.30, корп.2г","1052\1143","1293\1223"
"Маршала Жукова пр., д.30, корп.2д","2074\911","1888\769"
"Маршала Жукова пр., д.30, корп.2е","828\772","1068\898"
"Маршала Жукова пр., д.30, корп.2ж","2081\1485","2231\1484"
"Маршала Жукова пр., д.32, корп.1","2010\1581","2780\1826"
"Маршала Жукова пр., д.34, корп.1а","879\1018","1290\1243"
"Маршала Жукова пр., д.34, корп.1б","303\65","314\64"
"Маршала Жукова пр., д.34, корп.1в","1245\1317","1623\1740"
"Маршала Жукова пр., д.34, корп.1г","850\669","1095\775"
"Маршала Жукова пр., д.34, корп.1д","586\126","606\123"
"Маршала Жукова пр., д.34, корп.1е","887\190","918\188"
"Маршала Казакова ул., д.1, корп.2","987\756","928\718"
"Маршала Казакова ул., д.3, корп.1","2786\844","2224\787"
"Маршала Казакова ул., д.5, корп.1а","757\635","888\585"
"Маршала Казакова ул., д.5, корп.1б","1356\1212","1455\1093"
"Маршала Казакова ул., д.10, корп.1а","919\502","1128\1432"
"Маршала Казакова ул., д.10, корп.1б","1298\827","981\729"
"Маршала Казакова ул., д.10, корп.1в","703\595","1009\494"
"Маршала Казакова ул., д.10, корп.1д","1060\0","1060\0"
"Маршала Казакова ул., д.13","1441\430","1152\422"
"Метростроевцев ул., д.2","290\223","367\306"
"Метростроевцев ул., д.3","45\1","46\0"
"Морской Пехоты ул., д.4","1843\773","2210\1230"
"Морской Пехоты ул., д.6, корп.1","1319\263","1991\512"
"Морской Пехоты ул., д.10, корп.1","1727\862","1901\954"
"Морской Пехоты ул., д.14","1114\559","1066\556"
"Народного Ополчения пр., д.7","186\79","270\117"
"Новаторов бул., д.1","41\64","67\69"
"Новаторов бул., д.3","120\93","120\93"
"Новоовсянниковская ул., д.9","11\11","31\81"
"Новоовсянниковская ул., д.13","14\13","19\6"
"Новоовсянниковская ул., д.17а","50\49","190\51"
"Новоовсянниковская ул., д.19, корп.2","5\2","84\58"
"Новостроек ул., д.8","51\23","11\23"
"Новостроек ул., д.12","72\38","54\25"
"Новостроек ул., д.20","315\244","376\270"
"Новостроек ул., д.25","396\211","499\257"
"Новостроек ул., д.27","87\54","98\57"
"Новостроек ул., д.28","136\87","141\83"
"Новостроек ул., д.29","269\138","295\149"
"Новостроек ул., д.31","405\209","326\162"
"Новостроек ул., д.33","299\203","188\125"
"Новостроек ул., д.35","71\43","122\77"
"Оборонная ул., д.3","172\156","143\142"
"Оборонная ул., д.4","631\410","577\259"
"Оборонная ул., д.5","436\214","309\333"
"Оборонная ул., д.6","5\2","6\3"
"Оборонная ул., д.7/20","103\35","94\42"
"Оборонная ул., д.14","20\2","47\45"
"Оборонная ул., д.17/13","98\1","12\107"
"Оборонная ул., д.19","34\52","154\41"
"Оборонная ул., д.20/18","46\23","3\8"
"Оборонная ул., д.23/17","151\70","46\24"
"Оборонная ул., д.27","78\42","95\47"
"Огородный пер., д.4, корп.3","209\220","246\222"
"Огородный пер., д.6, корп.1","389\170","288\149"
"Огородный пер., д.6, корп.2","366\650","653\411"
"Огородный пер., д.11","142\0","123\41"
"Промышленная ул., д.10","32\19","102\49"
"Промышленная ул., д.12а","13\16","114\87"
"Промышленная ул., д.14","58\1","59\0"
"Промышленная ул., д.16","30\11","1\0"
"Промышленная ул., д.26","100\50","99\81"
"Промышленная ул., д.28","65\24","106\74"
"Промышленная ул., д.30","21\17","5\11"
"Промышленная ул., д.34","28\18","25\16"
"Промышленная ул., д.36","5\15","79\29"
"Промышленная ул., д.38","11\9","35\14"
"Севастопольская ул., д.6","60\32","89\43"
"Севастопольская ул., д.34","40\9","63\33"
"Севастопольская ул., д.43","31\1","11\27"
"Севастопольская ул., д.45","254\103","226\80"
"Стачек пр., д.1","274\44","579\143"
"Стачек пр., д.2/2","94\72","103\66"
"Стачек пр., д.4/1","155\111","202\133"
"Стачек пр., д.6","183\77","167\71"
"Стачек пр., д.8/2","76\44","109\60"
"Стачек пр., д.8а","919\444","771\389"
"Стачек пр., д.9","712\524","293\142"
"Стачек пр., д.10","178\192","125\152"
"Стачек пр., д.11","93\154","38\31"
"Стачек пр., д.13","204\183","401\228"
"Стачек пр., д.15","13\39","93\77"
"Стачек пр., д.17","868\430","985\459"
"Стачек пр., д.19","840\451","721\338"
"Стачек пр., д.21","1950\639","1544\504"
"Стачек пр., д.22","67\80","113\83"
"Стачек пр., д.22а","1089\429","930\391"
"Стачек пр., д.23","729\399","739\404"
"Стачек пр., д.24","64\48","78\53"
"Стачек пр., д.27","185\0","185\0"
"Стачек пр., д.29","372\209","63\0"
"Стачек пр., д.33/2","162\37","206\60"
"Стачек пр., д.34, корп.1","143\100","205\145"
"Стачек пр., д.34, корп.2","31\17","32\17"
"Стачек пр., д.35","42\31","54\10"
"Стачек пр., д.38",",01\1","63\11"
"Стачек пр., д.41","629\401","347\232"
"Стачек пр., д.42",",01\70","6\0"
"Стачек пр., д.95, корп.1","2892\1544","2610\1505"
"Стачек пр., д.101, корп.1а","1282\795","1292\698"
"Стачек пр., д.101, корп.1б","413\541","703\65"
"Стачек пр., д.101, корп.1в","2184\1193","1695\1132"
"Стачек пр., д.101, корп.1г","880\620","1069\1106"
"Стачек пр., д.101, корп.1д","1198\721","1193\717"
"Стачек пр., д.102","49\21","45\20"
"Стачек пр., д.103, корп.1","1841\1795","1354\1382"
"Стачек пр., д.105, корп.2а","807\524","1016\618"
"Стачек пр., д.105, корп.2б","1048\972","1714\1423"
"Стачек пр., д.105, корп.2в","2512\1023","2169\976"
"Стачек пр., д.105, корп.2г","949\1029","1168\1044"
"Стачек пр., д.105, корп.2д","2663\1972","3167\1865"
"Стачек пр., д.105, корп.2е","1062\908","1337\1017"
"Стачек пр., д.105, корп.2ж","2652\1413","2873\1488"
"Стачек пр., д.105, корп.2з","753\851","1433\1274"
"Стачек пр., д.107, корп.1","1313\465","1700\565"
"Тракторная ул., д.3","1\23","80\39"
"Тракторная ул., д.4","98\3","101\201"
"Тракторная ул., д.4а","230\287","174\154"
"ТРАКТОРНАЯ УЛ., д.5","483\49","704\116"
"ТРАКТОРНАЯ УЛ., д.6","12\43","54\33"
"ТРАКТОРНАЯ УЛ., д.6, корп.2","42\28","138\106"
"ТРАКТОРНАЯ УЛ., д.7","43\1","493\0"
"ТРАКТОРНАЯ УЛ., д.8","192\32","253\150"
"ТРАКТОРНАЯ УЛ., д.9","132\115","201\143"
"ТРАКТОРНАЯ УЛ., д.10","1\1","121\105"
"ТРАКТОРНАЯ УЛ., д.11","79\1","81\1"
"ТРАКТОРНАЯ УЛ., д.12","90\251","166\182"
"ТРАКТОРНАЯ УЛ., д.13","209\139","154\107"
"ТРАКТОРНАЯ УЛ., д.15","367\186","243\114"
"ТРАМВАЙНЫЙ ПР., д.5","244\251","267\245"
"ТРАМВАЙНЫЙ ПР., д.7, корп.1","180\93","217\98"
"ТРАМВАЙНЫЙ ПР., д.7, корп.2","402\201","376\192"
"ТРАМВАЙНЫЙ ПР., д.9, корп.1","233\246","351\294"
"ТРАМВАЙНЫЙ ПР., д.9, корп.2","203\107","197\105"
"ТРАМВАЙНЫЙ ПР., д.11, корп.1","42\22","21\10"
"ТРАМВАЙНЫЙ ПР., д.11, корп.2","54\43","51\42"
"ТРАМВАЙНЫЙ ПР., д.11, корп.3","224\101","315\109"
"ТРАМВАЙНЫЙ ПР., д.11, корп.6","781\354","733\333"
"ТРАМВАЙНЫЙ ПР., д.13, корп.1","30\14","39\21"
"ТРАМВАЙНЫЙ ПР., д.13, корп.2","53\70","46\58"
"ТРАМВАЙНЫЙ ПР., д.13, корп.3","115\58","115\54"
"ТРАМВАЙНЫЙ ПР., д.15, корп.1","145\171","177\174"
"ТРАМВАЙНЫЙ ПР., д.15, корп.2","36\35","36\38"
"ТРАМВАЙНЫЙ ПР., д.15, корп.3","68\82","126\138"
"ТРАМВАЙНЫЙ ПР., д.17","43\42","168\115"
"ТРЕФОЛЕВА УЛ., д.3","333\114","380\125"
"ТРЕФОЛЕВА УЛ., д.5","168\173","230\198"
"ТРЕФОЛЕВА УЛ., д.11","50\33","59\33"
"ТРЕФОЛЕВА УЛ., д.15","809\571","786\511"
"ТРЕФОЛЕВА УЛ., д.16","97\126","141\133"
"ТРЕФОЛЕВА УЛ., д.22/25","1688\184","1803\189"
"ТРЕФОЛЕВА УЛ., д.26","15\37","80\46"
"ТУРБИННАЯ УЛ., д.11","20\37","28\38"
"ТУРГЕНЕВСКИЙ ПЕР., д.3","13\6","18\8"
"ТУРГЕНЕВСКИЙ ПЕР., д.5","547\277","1\0"
"УРЮПИН ПЕР., д.5","349\259","196\164"
"ШВЕЦОВА УЛ., д.6","80\28","47\23"
"ШВЕЦОВА УЛ., д.10","516\742","1002\814"
"ШВЕЦОВА УЛ., д.11","612\34","409\288"
"ШВЕЦОВА УЛ., д.17","353\201","552\231"
"ШВЕЦОВА УЛ., д.19","1168\441","750\315"
"ШОТЛАНДСКАЯ УЛ., д.3","2636\638","2005\501"
